GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-cinestream,com.tech.ada.spring_cinestream.config,CorsConfig,0,33,0,0,0,9,0,2,0,2
spring-cinestream,com.tech.ada.spring_cinestream.config,SecurityFilter,57,52,11,5,11,16,8,5,0,5
spring-cinestream,com.tech.ada.spring_cinestream.config,CacheConfig,0,19,0,0,0,7,0,3,0,3
spring-cinestream,com.tech.ada.spring_cinestream.config,SecurityConfig,0,129,0,0,0,20,0,6,0,6
spring-cinestream,com.tech.ada.spring_cinestream.config,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
spring-cinestream,com.tech.ada.spring_cinestream.client.tmdbapi,ApiClient.new ParameterizedTypeReference() {...},3,0,0,0,1,0,1,0,1,0
spring-cinestream,com.tech.ada.spring_cinestream.client.tmdbapi,ApiClient.new ParameterizedTypeReference() {...},3,0,0,0,1,0,1,0,1,0
spring-cinestream,com.tech.ada.spring_cinestream.client.tmdbapi,ApiClient,213,16,0,0,32,6,11,1,11,1
spring-cinestream,com.tech.ada.spring_cinestream.dto.token,TokenResult,0,9,0,0,0,1,0,1,0,1
spring-cinestream,com.tech.ada.spring_cinestream,SpringCinestreamApplication,5,3,0,0,2,1,1,1,1,1
spring-cinestream,com.tech.ada.spring_cinestream.dto.request,SerieRequest,0,16,0,0,0,7,0,4,0,4
spring-cinestream,com.tech.ada.spring_cinestream.dto.request,SerieFavoritaRequest,0,26,0,0,0,11,0,6,0,6
spring-cinestream,com.tech.ada.spring_cinestream.dto.request,FilmeFavoritoRequest,0,26,0,0,0,11,0,6,0,6
spring-cinestream,com.tech.ada.spring_cinestream.dto.request,FilmeRequest,0,16,0,0,0,7,0,4,0,4
spring-cinestream,com.tech.ada.spring_cinestream.dto.request,LoginRequest,0,9,0,0,0,1,0,1,0,1
spring-cinestream,com.tech.ada.spring_cinestream.dto.request,UsuarioRequest,0,31,0,0,0,13,0,9,0,9
spring-cinestream,com.tech.ada.spring_cinestream.dto.mapping,UsuarioMapper,0,91,0,0,0,25,0,4,0,4
spring-cinestream,com.tech.ada.spring_cinestream.controller,UsuarioController,42,112,0,0,9,31,0,6,0,6
spring-cinestream,com.tech.ada.spring_cinestream.controller,SerieController,0,12,0,0,0,4,0,2,0,2
spring-cinestream,com.tech.ada.spring_cinestream.controller,AdviceController,18,12,0,0,2,2,2,2,2,2
spring-cinestream,com.tech.ada.spring_cinestream.controller,FilmeController,0,12,0,0,0,4,0,2,0,2
spring-cinestream,com.tech.ada.spring_cinestream.controller,AuthController,0,59,0,2,0,12,0,4,0,3
spring-cinestream,com.tech.ada.spring_cinestream.exception,AlreadyFavouriteException,0,10,0,0,0,5,0,2,0,2
spring-cinestream,com.tech.ada.spring_cinestream.exception,ApiClientException,5,4,0,0,2,2,1,1,1,1
spring-cinestream,com.tech.ada.spring_cinestream.exception,AuthenticationFailedException,0,4,0,0,0,2,0,1,0,1
spring-cinestream,com.tech.ada.spring_cinestream.exception,NotFoundException,0,7,0,0,0,4,0,2,0,2
spring-cinestream,com.tech.ada.spring_cinestream.exception,AlreadyExistsException,0,4,0,0,0,2,0,1,0,1
spring-cinestream,com.tech.ada.spring_cinestream.model,SerieFavorita,20,17,0,0,8,7,4,5,4,5
spring-cinestream,com.tech.ada.spring_cinestream.model,Usuario,93,102,4,4,25,33,10,20,8,18
spring-cinestream,com.tech.ada.spring_cinestream.model,Token,15,28,0,0,7,12,4,6,4,6
spring-cinestream,com.tech.ada.spring_cinestream.model,FilmeFavorito,7,30,0,0,3,12,2,7,2,7
spring-cinestream,com.tech.ada.spring_cinestream.dto.response,UsuarioResponse,21,45,0,0,8,20,1,13,1,13
spring-cinestream,com.tech.ada.spring_cinestream.dto.response,LoginResponse,0,9,0,0,0,1,0,1,0,1
spring-cinestream,com.tech.ada.spring_cinestream.dto.response,ErrorResponse,0,25,0,0,0,11,0,5,0,5
spring-cinestream,com.tech.ada.spring_cinestream.service,FilmeService,0,12,0,0,0,4,0,2,0,2
spring-cinestream,com.tech.ada.spring_cinestream.service,UsuarioService,45,165,2,12,8,33,4,16,2,11
spring-cinestream,com.tech.ada.spring_cinestream.service,CustomUserDetailsService,0,29,0,0,0,7,0,2,0,2
spring-cinestream,com.tech.ada.spring_cinestream.service,JWTService,20,94,1,5,9,26,1,8,0,6
spring-cinestream,com.tech.ada.spring_cinestream.service,SerieService,0,12,0,0,0,4,0,2,0,2
spring-cinestream,com.tech.ada.spring_cinestream.client.tmdbapi.dto.response,Page,12,34,0,0,6,14,3,7,3,7
spring-cinestream,com.tech.ada.spring_cinestream.client.tmdbapi.dto.response,TmdbSerie,43,62,2,0,15,23,9,12,8,12
spring-cinestream,com.tech.ada.spring_cinestream.client.tmdbapi.dto.response,TmdbFilme,2,83,1,1,0,30,1,16,0,16
